,Borough,hour_of_day,day_of_week,minutes_per_mile,traffic
2441,Queens,7,Wednesday,4.787581699346406,149070
2442,Queens,9,Sunday,4.0400843881856545,106810
2443,Queens,9,Tuesday,4.62962962962963,157080
2444,Queens,10,Sunday,4.271715773515259,129920
2445,Queens,11,Friday,4.786666666666667,154750
2446,Queens,11,Monday,4.578884934756821,128190
2447,Queens,12,Monday,4.678967531361149,132340
2448,Queens,13,Monday,4.816151291007465,143240
2449,Queens,14,Sunday,4.704586718192488,159680
2450,Queens,15,Wednesday,5.33599937269662,177270
2451,Queens,17,Saturday,4.9110198494182065,187610
2452,Queens,17,Tuesday,5.341179367504435,170680
2453,Queens,17,Wednesday,5.455801104972376,182890
2454,Queens,18,Saturday,4.864864864864865,190210
2455,Queens,20,Tuesday,4.5053003533568905,126470
2456,Queens,21,Thursday,4.365188084366166,127040
2457,Queens,22,Friday,4.3161158045551105,163920
2458,Queens,22,Sunday,4.053571428571429,118630
2459,Queens,22,Thursday,4.169891091623467,121900
2460,Queens,23,Saturday,4.134526845162204,160280
2597,Staten Island,0,Friday,3.2467592592592593,6560
2598,Staten Island,1,Friday,3.2947964002494876,4520
2599,Staten Island,1,Sunday,3.180428134556575,10130
2600,Staten Island,3,Monday,3.344692798942964,1800
2601,Staten Island,3,Saturday,3.241391618116586,4420
2602,Staten Island,7,Sunday,3.1835205992509366,8510
2603,Staten Island,7,Thursday,3.6726871205932756,13760
2604,Staten Island,10,Friday,3.797580847532585,15860
2605,Staten Island,11,Wednesday,3.8716849039559578,15300
2606,Staten Island,12,Friday,4.03298673237926,16920
2607,Staten Island,13,Friday,4.0804433661576525,17180
2608,Staten Island,15,Friday,4.317460317460317,22910
2609,Staten Island,16,Monday,4.15024091108191,16490
2610,Staten Island,16,Tuesday,4.146759557701995,18440
2611,Staten Island,17,Monday,4.005176748043332,17500
2612,Staten Island,20,Sunday,3.6794871794871793,10330
2613,Staten Island,20,Wednesday,3.799469604243166,11250
2614,Staten Island,21,Thursday,3.5585585585585586,9970
2615,Staten Island,21,Wednesday,3.598518369160571,10540
2616,Staten Island,22,Tuesday,3.402266068405309,8460
2617,Staten Island,23,Thursday,3.359767891682785,8780
2618,Bronx,0,Monday,4.25231820069704,82160
2619,Bronx,0,Thursday,4.2716644638393095,72580
2620,Bronx,1,Friday,4.191919191919192,55310
2621,Bronx,1,Saturday,4.299822695035461,84820
2622,Bronx,2,Friday,4.131798747714585,37960
2623,Bronx,2,Wednesday,3.971759982838405,26660
2624,Bronx,3,Monday,3.90937019969278,23910
2625,Bronx,3,Thursday,3.8273758265824673,22400
2626,Bronx,4,Sunday,4.089941653517302,48020
2627,Bronx,4,Wednesday,3.7572254335260116,21190
2628,Bronx,5,Friday,3.8755223400835743,37500
2629,Bronx,6,Monday,4.3714927048260375,58750
2630,Bronx,6,Thursday,4.415294646873594,64820
2631,Bronx,7,Friday,5.051230368690685,117680
2632,Bronx,7,Saturday,4.019784172661871,66890
2633,Bronx,7,Thursday,5.206346130523963,115380
2634,Bronx,8,Friday,5.253878702397744,151750
2635,Bronx,11,Friday,5.39426523297491,115930
2636,Bronx,11,Saturday,5.068799522876374,107200
2637,Bronx,12,Friday,5.4925137903861305,113750
2638,Bronx,13,Sunday,4.87471399073609,96290
2639,Bronx,15,Thursday,6.1145914904724625,143210
2640,Bronx,17,Thursday,6.10632183908046,151830
2641,Bronx,18,Friday,5.895002624859808,162860
2642,Bronx,18,Monday,5.399530516431925,116720
2643,Bronx,18,Tuesday,5.5391287206781,133150
2644,Bronx,20,Tuesday,4.86493502848643,109020
2645,Bronx,21,Saturday,4.834205933682373,154470
2646,Bronx,22,Saturday,4.655004859086492,152230
2647,Bronx,22,Wednesday,4.495238095238095,102650
2648,Bronx,23,Saturday,4.518329070758738,149090
2777,Brooklyn,1,Tuesday,4.462365591397849,71670
2778,Brooklyn,2,Friday,4.470142602495544,83520
2779,Brooklyn,2,Thursday,4.397937599153886,61880
2780,Brooklyn,3,Monday,4.338575619765638,44120
2781,Brooklyn,4,Tuesday,4.169334186939821,32560
2782,Brooklyn,6,Saturday,4.318806438947782,79310
2783,Brooklyn,6,Sunday,4.2473534727601345,72290
2784,Brooklyn,8,Thursday,6.136712749615976,246290
2785,Brooklyn,9,Wednesday,5.972222222222221,243250
2786,Brooklyn,10,Sunday,5.140845070422535,203570
2787,Brooklyn,12,Tuesday,6.123678716061567,218840
2788,Brooklyn,17,Tuesday,6.652719421101774,294080
2789,Brooklyn,19,Sunday,5.489786443825442,290530
2790,Brooklyn,19,Tuesday,5.81128352540096,286620
2791,Brooklyn,20,Saturday,5.686125059780009,372920
2792,Brooklyn,21,Wednesday,5.2647995783542765,252360
2793,Brooklyn,22,Sunday,5.0,241330
2794,Brooklyn,23,Wednesday,4.798534798534798,217150
2973,Manhattan,1,Sunday,4.8357318653346315,347780
2974,Manhattan,1,Wednesday,4.3314500941619585,78830
2975,Manhattan,2,Saturday,4.6877565681445,246860
2976,Manhattan,3,Wednesday,4.090578271800979,30460
2977,Manhattan,5,Wednesday,3.931623931623932,52890
2978,Manhattan,6,Friday,4.334103156274057,133510
2979,Manhattan,6,Monday,4.3604651162790695,129320
2980,Manhattan,6,Tuesday,4.407834354391934,145880
2981,Manhattan,7,Saturday,4.157087920121622,109620
2982,Manhattan,8,Tuesday,6.2876254180602,388910
2983,Manhattan,10,Monday,6.111111111111112,264910
2984,Manhattan,12,Sunday,5.558659217877095,324510
2985,Manhattan,12,Thursday,6.855231143552311,304990
2986,Manhattan,14,Friday,6.996066007519844,323820
2987,Manhattan,14,Thursday,7.017543859649123,320780
2988,Manhattan,14,Wednesday,7.011878247958426,311070
2989,Manhattan,15,Friday,7.260273972602739,331260
2990,Manhattan,15,Monday,6.465201465201464,283890
2991,Manhattan,15,Wednesday,7.120049019607843,322300
2992,Manhattan,16,Friday,7.172619047619047,353840
2993,Manhattan,17,Monday,6.123809523809524,332440
2994,Manhattan,18,Monday,5.796221322537112,365570
2995,Manhattan,19,Sunday,5.628930817610062,352110
2996,Manhattan,20,Tuesday,5.365416601301074,338060
2997,Manhattan,23,Sunday,4.618055555555556,198310
3111,Queens,0,Monday,3.8802821478026566,84040
3112,Queens,1,Monday,3.830641069758413,53180
3113,Queens,5,Monday,3.156057098765432,65040
3114,Queens,5,Tuesday,3.224637681159421,59450
3115,Queens,6,Wednesday,3.89520202020202,97810
3116,Queens,7,Friday,4.5608108108108105,157790
3117,Queens,11,Wednesday,4.681818181818182,137670
3118,Queens,12,Saturday,4.919003115264798,164930
3119,Queens,12,Wednesday,4.773662551440329,140590
3120,Queens,14,Thursday,5.187074829931973,177930
3121,Queens,19,Friday,4.943990922388574,201760
3122,Queens,19,Wednesday,4.822695035460993,154430
3123,Queens,20,Thursday,4.619971915604614,142420
3124,Queens,21,Wednesday,4.358974358974359,119780
3125,Queens,23,Sunday,3.8505747126436782,106950
3245,Staten Island,3,Sunday,3.2947311391033454,5050
3246,Staten Island,3,Wednesday,3.138777550118637,1600
3247,Staten Island,4,Saturday,3.186968838526912,3410
3248,Staten Island,5,Friday,3.159751503907348,4940
3249,Staten Island,5,Thursday,3.2633158289572393,4710
3250,Staten Island,6,Saturday,3.1442844548927416,7350
3251,Staten Island,8,Monday,3.826987347815708,17580
3252,Staten Island,9,Saturday,3.623339592461228,13290
3253,Staten Island,10,Saturday,3.8077139639639643,13870
3254,Staten Island,10,Wednesday,3.808851224105461,14730
3255,Staten Island,11,Monday,3.798798798798799,12430
3256,Staten Island,12,Wednesday,3.8915411891669667,15240
